iteration	timestamp	code_hash	norm_hpwl	hpwl	overflow	tns_proxy	runtime_s
0	1780676766	a983824c	0.9893689009025519	2159495.5	0.08250021934509277	0.0	4.845907177776098
9	1780676849	35166473	0.9750044669446098	2128142.25	0.348675400018692	0.0	5.4442631071433425
1	1780676853	be636dd0	N/A	4319645.0	0.2686988413333893	N/A	N/A
10	1780676876	c109bd70	0.9744330416456682	2126895.0	0.354867160320282	0.0	6.281897902023047
2	1780676882	93049c12	N/A	N/A	N/A	N/A	N/A
11	1780676900	76c3c874	0.9678556375131717	2112538.5	0.3527476191520691	0.0	5.360395765863359
3	1780676911	1032d643	N/A	N/A	N/A	N/A	N/A
4	1780676943	ca0f7697	1.2182665964172814	2659110.5	0.08261388540267944	0.0	9.374896807130426
12	1780676944	1c49965a	0.9880162184450452	2156543.0	0.34348806738853455	0.0	9.95908333081752
13	1780676970	9004cd49	0.9709182434599349	2119223.25	0.3351653218269348	0.0	5.22181775374338
14	1780676995	9c11e010	0.9724241764786732	2122510.25	0.3428005576133728	0.0	5.875363708939403
15	1780677028	aae5edfd	0.9856229669675173	2151319.25	0.3512011468410492	0.0	5.991727680899203
5	1780677042	7c3fe93b	N/A	5102880.5	0.269342303276062	N/A	N/A
16	1780677055	c8226b01	0.9792818527511797	2137478.5	0.28935715556144714	0.0	6.800258591771126
6	1780677078	e914542b	N/A	N/A	N/A	N/A	N/A
17	1780677118	8921a743	N/A	N/A	N/A	N/A	N/A
7	1780677118	2aa1d8cb	1.224439112108856	2672583.25	0.08241087943315506	0.0	4.951425694394857
8	1780677134	e0b2ee9e	N/A	N/A	N/A	N/A	N/A
18	1780677144	f13420c5	2.1408035918816144	4672732.0	0.26852738857269287	0.0	0.4334681988693774
9	1780677176	1f881d07	N/A	N/A	N/A	N/A	N/A
10	1780677208	e80e6e34	1.3520693407247903	2951161.75	0.08247634023427963	0.0	5.17139455396682
11	1780677236	18208b06	N/A	5908954.0	0.2664286196231842	N/A	N/A
12	1780677324	2bc107bc	N/A	N/A	N/A	N/A	N/A
13	1780677350	64411b3c	N/A	2135208.0	0.35302865505218506	N/A	N/A
19	1780677367	595b265c	0.9789789022769964	2136817.25	0.35295039415359497	0.0	4.537720168940723
14	1780677388	fc1d8ad3	N/A	3707780.25	0.2683629095554352	N/A	N/A
20	1780677397	6b4b4c58	0.9782544554909057	2135236.0	0.35938653349876404	0.0	6.099809046834707
15	1780677423	47e2a873	N/A	5180566.5	0.2706696391105652	N/A	N/A
16	1780677451	45c1297b	N/A	3177168.75	0.27423352003097534	N/A	N/A
17	1780677508	9de45cc8	1.1505898657625877	2511392.5	0.09976720809936523	0.0	4.899247623048723
18	1780677553	45051e0a	N/A	N/A	N/A	N/A	N/A
19	1780677577	12229e07	N/A	3542339.5	0.27409887313842773	N/A	N/A
21	1780677610	76c3c874	0.9703264305676456	2117931.5	0.3420882523059845	0.0	5.332615899853408
20	1780677611	46145245	N/A	N/A	N/A	N/A	N/A
22	1780677640	72258d02	0.9671511201722637	2111000.75	0.34025847911834717	0.0	5.8683217517100275
23	1780677673	6433665b	0.9743132359004902	2126633.5	0.35002467036247253	0.0	5.03068277426064
24	1780677721	c035c75b	1.0551722637100838	2303124.5	0.25220048427581787	0.0	5.030503512360156
21	1780677746	7787f07e	1.3537460484720758	2954821.5	0.09516453742980957	0.0	4.489288793876767
25	1780677753	728ec58c	1.286479589499244	2807999.0	0.08228917419910431	0.0	4.820520314853638
22	1780677764	5ecde94d	N/A	3578358.75	0.27312788367271423	N/A	N/A
23	1780677784	4d5ff364	N/A	N/A	N/A	N/A	N/A
26	1780677811	f4d75642	0.9764115544967242	2131213.5	0.3560469150543213	0.0	5.343501158989966
24	1780677821	f37afedb	N/A	2101277.5	0.35206300020217896	N/A	N/A
27	1780677842	4a1fef76	0.9664740917212626	2109523.0	0.3419967293739319	0.0	5.619547854643315
25	1780677845	35b991b8	N/A	4613224.0	0.2719045579433441	N/A	N/A
26	1780677866	cdc2bb0c	1.1676618408393273	2548655.5	0.08607519418001175	0.0	4.471753387711942
27	1780677907	c7f8bdcb	N/A	4073119.5	0.271766722202301	N/A	N/A
28	1780677946	56aaf37b	N/A	N/A	N/A	N/A	N/A
28	1780677963	08020d23	1.9679284830714252	4295397.5	0.2703962028026581	0.0	0.42387676937505603
29	1780677978	caa067d8	N/A	2116860.0	0.3525368273258209	N/A	N/A
29	1780678000	5ff9e5cd	0.9790737389471755	2137024.25	0.36011824011802673	0.0	5.8460766319185495
30	1780678001	6d243209	N/A	N/A	N/A	N/A	N/A
31	1780678039	5d7a5cea	N/A	N/A	N/A	N/A	N/A
30	1780678064	6b383f3b	0.9619604159985339	2099671.0	0.35315611958503723	0.0	4.819621141068637
32	1780678081	d794eb91	1.1888463829202365	2594895.0	0.09569482505321503	0.0	5.352352583780885
33	1780678114	3c681231	1.220407866403995	2663784.25	0.08408087491989136	0.0	5.522076345980167
31	1780678131	b0aed95f	1.1399628899986256	2488197.0	0.16095158457756042	0.0	5.140544562600553
34	1780678141	0fd661ca	N/A	N/A	N/A	N/A	N/A
35	1780678172	7221713c	1.3196298162825857	2880356.0	0.08279237151145935	0.0	4.62738039996475
32	1780678188	8f35e607	0.9800939203738489	2139251.0	0.35214075446128845	0.0	5.106368754990399
36	1780678204	99f74a35	N/A	5624732.0	0.26997706294059753	N/A	N/A
33	1780678213	8e09ab42	0.9797166353598754	2138427.5	0.3516392707824707	0.0	4.974410270806402
37	1780678224	a6e63d15	N/A	3295264.5	0.27260810136795044	N/A	N/A
34	1780678239	45cc32ff	0.9712451321757456	2119936.75	0.352862149477005	0.0	5.169279943685979
38	1780678257	4a3ac04c	N/A	2123291.5	0.35241973400115967	N/A	N/A
35	1780678265	25e0bbfa	0.9753337609382875	2128861.0	0.3526851534843445	0.0	5.48975296318531
39	1780678291	de483c23	N/A	N/A	N/A	N/A	N/A
36	1780678298	5603a015	0.9771127502634352	2132744.0	0.3529203534126282	0.0	4.331856736913323
40	1780678318	d6e91c16	1.6104000778851881	3515020.25	0.08269509673118591	0.0	5.418275442905724
37	1780678335	467fc2ab	0.9745396756310991	2127127.75	0.3529646396636963	0.0	5.02112006675452
41	1780678346	4a83a310	N/A	N/A	N/A	N/A	N/A
42	1780678372	dd0f6291	1.2140528932056627	2649913.25	0.08243729919195175	0.0	4.356860844884068
43	1780678404	bae53381	N/A	3105102.0	0.27772027254104614	N/A	N/A
44	1780678427	b78dba69	N/A	N/A	N/A	N/A	N/A
38	1780678435	27d46e25	0.9655987996518074	2107612.5	0.3529929220676422	0.0	5.226903177797794
39	1780678462	00ffad13	0.9736805332844642	2125252.5	0.35332879424095154	0.0	4.909494910389185
40	1780678492	e11cd6c2	0.9742362670087507	2126465.5	0.3427227735519409	0.0	5.8116545379161835
41	1780678533	4fce9c49	0.9797443533238649	2138488.0	0.3527367115020752	0.0	5.437192852143198
45	1780678540	b9c84689	N/A	2142300.0	0.35405632853507996	N/A	N/A
42	1780678560	f9426b62	0.9793324781234252	2137589.0	0.3522121012210846	0.0	4.913183921948075
46	1780678572	c649f6a2	N/A	2170296.0	0.14582385122776031	N/A	N/A
47	1780678601	d391c2cc	N/A	N/A	N/A	N/A	N/A
43	1780678608	f9f3edcb	0.9795152792413067	2137988.0	0.35288795828819275	0.0	4.853777211625129
44	1780678699	2cce9254	0.9707733541027168	2118907.0	0.3524402379989624	0.0	4.514766685664654
45	1780678728	4a7af4ff	0.9729571173317451	2123673.5	0.35226985812187195	0.0	4.6640849290415645
46	1780678762	3e9e3c37	0.9660414853163513	2108578.75	0.35332590341567993	0.0	5.547958598006517
48	1780678767	11778ff3	N/A	2484518.5	0.1667570024728775	N/A	N/A
47	1780678789	f7eb263d	0.9709514592019058	2119295.75	0.35350966453552246	0.0	4.816464200615883
49	1780678829	82e80d3a	N/A	2117893.0	0.35331660509109497	N/A	N/A
