iteration	timestamp	code_hash	norm_hpwl	hpwl	overflow	tns_proxy	runtime_s
0	1780615970	d9f0b591	2.2682353663616612	4949623.0	1.0	98992.46	3.8591927430024953
1	1780616244	1e7e5202	2.27299031641773	4959999.0	1.0	99199.98	1.666384645999642
2	1780616319	91984ff7	2.264025063389405	4940435.5	1.0	98808.71	1.5264176339987898
3	1780616577	4305909e	2.2693691121633877	4952097.0	1.0	99041.94	2.177720532999956
